title,power_mode,type,class,price,detail,range_miles
Audi A3 e-Tron,electric + gasoline,Plug-in Hybrid,Luxury,39500,"The A3 e-Tron sportback has a compelling mix of attributes—elegant lines, high-quality materials, and practicality. Combine that with a capable 1.4-liter turbocharged gas engine and an electric powertrain providing about 16 miles of electric driving. The result is a small and snazzy plug-in hybrid.",16
BMW 330e,electric + gasoline,Plug-in Hybrid,Sedan,44100,"If you like the styling and road manners of a BMW 3-Series, but want to push the envelope on efficiency, then the 330e is the answer. Commutes of less than 14 miles can happen purely on electricity, with an official 72 MPGe rating. Punch the accelerator for combined power from a 2-liter turbocharged engine and 87-hp electric motor. That results in nearly as much torque as the six-cylinder 340i at a lower purchase price after federal incentives.",14
BMW 530e,electric + gasoline,Plug-in Hybrid,Sedan,52400,"The 2018 BMW 530e plug-in hybrid is nearly identical to the internal-combustion versions of the 5-Series. It uses BMW’s eDrive system combining a turbocharged, direct-injected 2.0-liter inline-four with an electric motor and a 9.2-kWh lithium-ion battery pack. The 530e only costs about $200 more than the 530i, making it a compelling step up, considering the increased torque and improved fuel economy advantages of the plug-in hybrid model.",16
BMW 740e xDrive Plug-In Hybrid,electric + gasoline,Plug-in Hybrid,Sedan,91e3,"BMW’s lavish and roomy flagship sedan is now available as a more efficient plug-in hybrid version. The luxurious plug-in hybrid combines a 2.0-liter, turbocharged engine with an electric motor for a total system producing 322 horsepower. You won’t be lacking for power in this capable luxury vehicle. It’s quiet and smooth.",14
BMW i3,pure electric,Electric Vehicle,Sedan,43400,The stylish if slightly odd-looking BMW i3 is the lightest EV on the market.  That makes it very efficient while providing a fast and fun 170-horsepower ride. The i3's battery pack delivers 114 miles of range. The electric Bimmer is also available with a small gas engine that boosts total driving distance to about 180 miles.,114
BMW i8,electric + gasoline,Plug-in Hybrid,Coupe,143e3,"The i8 is BMW's expensive sleek futuristic plug-in hybrid supercar. The car is powered by a one-two punch by a powerful 96-kilowatt (129-horsepower) electric motor driving the front wheels—and an efficient 230-horsepower 1.5-liter turbocharged three-cylinder gasoline engine motivating the rear wheels. The car has a delightful split personality: switching on command between virtuous EV silence, and a delightful Porsche-like engine note when driven as a sports machine.",15
BMW X5 xdrive40e,electric + gasoline,Plug-in Hybrid,SUV,64e3,"The X5 is everything you’d expect from a BMW. High-quality materials abound inside the vehicle’s refined cabin. A turbocharged 2.0-liter engine and 111-horsepower electric motor provide a solid 308 horsepower and 332 pound-feet of torque. With the ability to plug in, X5 xDrive 40e grants 13 miles in electric-only mode, and 24 mpg strictly from the gas engine.",14
Cadillac CT6 Plug-in Hybrid,electric + gasoline,Plug-in Hybrid,Luxury,75e3,"The 2018 Cadillac CT6 is like a big, muscular, luxurious Volt. The plug-in variant of the CT6—Cadillac’s attractive flagship sedan—is built at General Motor’s $1.2 billion factory in Shanghai, China. GM is working to fulfill the Chinese government’s desire for vehicles that reduce emissions. Only a few hundred CT6 Plug-in Hybrids will be sold in the US every year, putting its owners in an exclusive club of drivers of the American luxury model providing about 31 miles of all-electric range.",31
Chevrolet Bolt,pure electric,Electric Vehicle,Sedan,37500,"With the Bolt, General Motors introduced the industry's first affordable long-range electric car, rated to provide 238 miles on a single charge. It's a milestone for the EV market. The Bolt is now available throughout the United States.",238
Chevy Volt,electric + gasoline,Plug-in Hybrid,Sedan,33200,"The Chevy Volt is the world’s most popular plug-in hybrid. While the first-generation model was designed to attract early adopters, the current edition has mass appeal. It has more all-electric range. It's faster, and the design is more pleasant.",53
Chrysler Pacifica Plug-in Hybrid,electric + gasoline,Plug-in Hybrid,Wagon/Van,4e4,"The Pacifica Plug-in Hybrid is Chrysler’s first plug-in car—and the industry’s first plug-in hybrid minivan. The editors of Good Housekeeping, in partnership with Car and Driver, named the Chrysler Pacifica Hybrid a 2018 Best New Car award winner in the Hybrid category.",33
Fiat 500e,pure electric,Electric Vehicle,Coupe,33e3,"The Fiat 500e is every bit as cute as the gas-powered Fiat 500.  It uses a 24 kilowatt-hour liquid-cooled lithium-ion battery pack, providing an official EPA range of 84 miles.  The Fiat 500e is widely considered a ""compliance"" car, produced only to meet emissions regulations. It's only sold in California and Oregon.",84
Ford C-Max Energi,electric + gasoline,Plug-in Hybrid,Wagon/Van,27100,"The Ford C-Max Energi is a compelling alternative to the other leading plug-in hybrids—the Chevy Volt and Plug-in Prius. It offers 20 miles of all-electric driving, 570 miles of total range, and an attractive price. That said, production of the C-Max Energi ended in September after Ford decided to discontinue the model. Supplies of new models will be increasingly limited throughout 2018.",20
Ford Focus Electric,pure electric,Electric Vehicle,Sedan,29200,"The five-door hatchback provides about 115 miles of range. It offers many features that make it an enticing EV package, including an attractive design and zippy drive. The Focus Electric employs a 107-kilowatt (143 horsepower) motor. Its nicely designed interior with materials of a higher quality than found in many affordable small cars.",115
Ford Fusion Energi,electric + gasoline,Plug-in Hybrid,Sedan,33900,"The Ford Fusion Energi offers a robust plug-in electric system in an ultra-popular roomy full-size sedan platform.  The model offers the equivalent of about 97 miles per gallon, without compromising style or passenger space.  After its battery is depleted, the Fusion Energi still delivers 42 miles per gallon.",21
Honda Clarity Electric,pure electric,Electric Vehicle,Sedan,NA,"The 2018 Honda Clarity Electric is a spacious, well-equipped five-passenger sedan. However, the pure battery-electric version offers only 89 miles of driving range on a single charge. That's well below the range offered in best-of-class electric cars. The Clarity is also offered as a plug-in hybrid and as a fuel-cell electric vehicle. The Clarity Electric is only available for lease in California and Oregon.",89
Honda Clarity Plug-in Hybrid,electric + gasoline,Plug-in Hybrid,Sedan,34300,"The 2018 Honda Clarity Plug-in Hybrid is a spacious, well-equipped five-passenger sedan. The Clarity is offered with three powertrains, including a plug-in hybrid that provides 42 miles of all-electric range before the gasoline engine is used.",48
